conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.90146E+18,Mon Mar 17 02:41:09 +0000 2025,2,setelah berkeliling seluruh pom bensin Shell sa-bandung-eun tidak ada yg ready akhirnya aku beralih ke AKR,1.90146E+18,,,in,"code area: D, AG, DK",0,0,0,https://x.com/ddormitoirre/status/1901463790790864999,1.47544E+18,ddormitoirre
1.90099E+18,Sat Mar 15 19:16:09 +0000 2025,4,Sekarang tiap ditanya kenapa ga mudik? Jawaban gue: Di jawa tengah ga ada shell males kasian mobilnya.,1.90099E+18,,,in,,0,1,0,https://x.com/apansa_kalengs/status/1900989412198224068,1.03703E+18,apansa_kalengs
1.89971E+18,Wed Mar 12 06:45:31 +0000 2025,5,Ternyata di Shell sini cuma melayani penjualan oli ga ada layanan ganti oli. Yadah beli online aja kalo gt https://t.co/cH5tjf7NPg,1.89971E+18,https://pbs.twimg.com/media/Gl0jNkBaUAAf8qL.jpg,,in,,1,1,0,https://x.com/antibacterii/status/1899713345802158446,1.54053E+18,antibacterii
1.89979E+18,Wed Mar 12 11:33:25 +0000 2025,8,percakapan tdi pagi pertama kali isi shell selamat pagi mau isi shell yang mana kak? aku dengan kesadaran penuh : gatau kak hehe yang best seller mana? https://t.co/SG2Yu9NqJq,1.89979E+18,https://pbs.twimg.com/media/Gl1ktOWa8AAHM43.jpg,,in,,0,6,0,https://x.com/1shittalkerr/status/1899785799090192546,1.5704E+18,1shittalkerr
1.89986E+18,Wed Mar 12 16:11:01 +0000 2025,2,yang isiin shell dia untung lucu https://t.co/UrxbZgLKyP,1.89986E+18,https://pbs.twimg.com/media/Gl2kpPUbsAA8FHY.jpg,,in,,0,1,0,https://x.com/Rahmam0N/status/1899855659166007706,1.15613E+18,Rahmam0N
1.90201E+18,Tue Mar 18 14:56:24 +0000 2025,0,Kemarin pertamina jeblok yg disidak shell lah ini BEI jeblok kok gasidak ke BE negara lain?,1.90201E+18,,,in,0606 - 1919 | 298,0,0,0,https://x.com/ac_yoas/status/1902011207843987552,89632859,ac_yoas
1.90202E+18,Tue Mar 18 15:44:51 +0000 2025,0,kenapa shell abis terus,1.90202E+18,,,in,,0,1,0,https://x.com/ariqcruise/status/1902023400446742640,3289317312,ariqcruise
1.90145E+18,Mon Mar 17 01:45:34 +0000 2025,60,si adek pas awal² badannya GEDE bangett ampe bajunya keliatan ngepress (liat aja lengannya) apalagi yg pas di asrama bnrn kek preman pas gondrong. tp skrg dia kurusan ga sih? badannya ga segede dulu https://t.co/9DkhbqUhve,1.90145E+18,https://pbs.twimg.com/media/GmNOhAfbgAAsm7W.jpg,,in,gotham city,0,7,0,https://x.com/spideryyc/status/1901449799683162272,1.43543E+18,spideryyc
1.90203E+18,Tue Mar 18 16:10:49 +0000 2025,44,siapa ducal niiii asal nama macam nama petronas atau shell,1.90203E+18,,,in,The Emerald City of Oz,0,3,1,https://x.com/danishyeoh/status/1902029938091508071,1.70882E+18,danishyeoh
1.90014E+18,Thu Mar 13 11:07:46 +0000 2025,5,Dari Tangerang ke Grogol sdh lewatin 4 SPBU @pertamina tapi gak mampir dan sdh degdeg'an bensin sdh hampir habis. Untung ada @Shell meskipun agak mahal tapi Gak mau ditipu sm Plat merah. https://t.co/bVag9QGfeY,1.90014E+18,https://pbs.twimg.com/media/Gl6o0s7aIAANMbY.jpg,,in,Tangerang Kota - DKI Jakarta,0,1,0,https://x.com/IamWuBi/status/1900141730412060846,1.81539E+18,IamWuBi
1.90205E+18,Tue Mar 18 17:51:05 +0000 2025,45,@daegalangel bener njir magz kadang ngomong kek kumur² cpt bgt,1.90206E+18,,daegalangel,in,gotham city,0,1,0,https://x.com/spideryyc/status/1902055168604303468,1.43543E+18,spideryyc
1.90204E+18,Tue Mar 18 16:37:58 +0000 2025,20,SHELL DMNA MANA KOSONG ANJEENG TINGGAL DI GATSU https://t.co/WI6AgtjOKt,1.90204E+18,https://pbs.twimg.com/media/GmVkWlzaMAEPMgo.jpg,,in,,0,3,0,https://x.com/cimolnya_qaqa/status/1902036769639637174,1.27534E+18,cimolnya_qaqa
1.89903E+18,Mon Mar 10 11:32:53 +0000 2025,888,@kompascom Dear @Shell tolong bikin SPBU sebanyak2nya agar kami punya opsi selain pertemex,1.89906E+18,,kompascom,in,,1,23,81,https://x.com/Benidicvsy/status/1899060887555858792,1.79751E+18,Benidicvsy
